node_id,observed_label,degree,is_poisoned,score_structure,score_input_spectrum,score_model_js,score_spectral_relation,score_transfer,score_combined,moment_0,moment_1,moment_2,moment_3,input_band_0,input_band_1,input_band_2,input_band_3,model_js_layer_1,model_js_layer_2,spectral_relation_layer_1,spectral_relation_layer_2,delta_gain_l1_b0,delta_gain_l1_b1,delta_gain_l1_b2,delta_gain_l1_b3,delta_gain_l2_b0,delta_gain_l2_b1,delta_gain_l2_b2,delta_gain_l2_b3
0,3,3,0,0.37792398035526276,0.9625519067049026,0.30428488552570343,0.5409417625985958,1.9529242515563965,0.6690835566168519,1.5023271,2.1752985,3.2817516,5.08783,0.45763442,0.1472768,0.21352655,0.18156219,0.00017401445,0.0011173186,0.00012992817210033536,0.004462411627173424,1.416812,1.715066,0.5162039,1.1188889,4.254695,5.759689,5.189131,4.36055
1,4,3,0,0.9358168244361877,1.1261134147644043,0.3745181653648615,0.14364380586585604,1.0656771957874298,0.5338365045258359,1.0519364,1.7307686,2.9864292,5.241406,0.6518846,0.052393936,0.046090245,0.24963118,0.0011035273,0.005035949,0.0012216544710099697,0.003791964612901211,1.5997372,2.320695,1.6892128,1.7495251,4.428565,5.9528065,3.6553764,3.2467728
2,4,5,0,0.7363452017307281,0.2711748033761978,0.4450286068022251,0.26446795161747894,2.338258147239685,0.654977791436949,1.2596853,1.9229861,3.100816,5.1317906,0.5432189,0.13671374,0.12653019,0.19353715,0.0012749922,0.005463626,0.0011641025776043534,0.0043025570921599865,1.471425,2.4592304,1.78691,0.71810913,4.196892,7.3476443,3.6729116,3.7040186
3,0,1,0,2.8343093395233154,3.158545732498169,0.7321611046791077,0.6824538303614783,6.231876850128174,1.5821700279929682,1.6666666,3.3333333,6.6666665,13.333333,0.5937499,1.4437492e-07,1.4437492e-07,0.40624994,9.312419e-09,7.0488795e-08,0.0005635467241518199,0.009383313357830048,1.3764791,0.0,0.0,0.0,4.649868,0.0,0.0,0.0
4,3,5,0,0.5791852176189423,1.0849868953227997,0.9020017981529236,0.12344690758279706,1.2485628724098206,0.47016653693800015,1.2409579,1.5417598,1.9888164,2.6422403,0.5631333,0.14482652,0.20814067,0.0838995,2.2222514e-05,0.00021825894,0.0006508071674033999,0.0036044130101799965,1.3714509,1.4905767,1.6226263,1.307169,4.243012,3.9862843,3.8859997,3.027955
5,2,3,0,0.11534666642546654,1.334406316280365,0.858223170042038,5.035337970789075,1.9437385201454163,0.7335467175001981,1.150391,1.6425837,2.4076648,3.5865393,0.4937163,0.10040347,0.22539721,0.18048291,6.0928985e-05,0.0006454785,2.4951528757810593e-05,0.01829531230032444,1.2705002,1.4553843,1.8096313,1.2790384,4.3557897,5.740559,3.7209072,4.1740503
6,0,4,0,2.5151935815811157,1.0142787396907806,0.9174303412437439,1.5235613687167144,4.2342283725738525,3.3938091203866785,0.9919057,1.1524205,1.4240357,1.841854,0.35813272,0.25348777,0.26339844,0.12498112,0.00027916388,0.0052342475,0.001591540640220046,0.01591934636235237,1.5638652,0.9553461,1.0007133,1.4944267,4.0935597,4.4855165,2.5841894,2.4436274
7,3,1,0,2.3256715536117554,3.0311233401298523,1.2744473814964294,0.867140023011341,8.163576364517212,3.0824471791040087,2.1666667,4.3333335,8.666667,17.333334,0.5,3.5e-08,3.5e-08,0.5,9.858587e-08,5.3647035e-08,0.0005775725585408509,0.0044317711144685745,2.1224504,0.0,0.0,0.0,4.4723973,0.0,0.0,0.0
8,3,3,0,1.1739376783370972,1.2968721389770508,0.5043603926897049,0.8329044917729914,1.2716077268123627,0.5076000266260124,1.2094771,1.5950633,2.2965117,3.5430899,0.4300937,0.2370445,0.20695354,0.12590827,0.00010311825,0.0012206606,0.0005876978393644094,0.004191435873508453,1.445776,1.4235573,1.0867949,1.6066742,4.151206,4.2223024,4.187126,2.936348
9,2,2,0,0.9095726311206818,0.6622939109802246,0.34166658751200885,5.007771990254111,2.311854898929596,0.5123287714054715,1.3750128,1.9795936,2.916874,4.340315,0.41714615,0.16593377,0.2394527,0.17746739,0.0017327087,0.0008380612,0.0005363908130675554,0.01777736283838749,0.99418116,2.1196175,2.5639076,1.5560646,4.506426,5.477156,4.279662,3.8477335
